"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa05142","hsa05142","Chagas disease (American trypanosomiasis)","32/1792","102/7240",0.076718501087623,0.999954425916137,0.999954425916138,"7048/5599/3553/3586/7132/5054/148022/718/2767/811/2769/7040/208/5518/5296/4843/414062/6416/6347/6349/6352/6348/8772/2773/54106/2771/356/5522/10333/3654/8517/10000",32
"hsa04721","hsa04721","Synaptic vesicle cycle","21/1792","63/7240",0.078162034935029,0.999954425916137,0.999954425916138,"112755/6572/5864/160/1175/57030/8775/773/23025/1785/6844/163/4905/535/10312/6809/26052/2054/23545/10815/161",21
"hsa03420","hsa03420","Nucleotide excision repair","16/1792","47/7240",0.0975961169297258,0.999954425916137,0.999954425916138,"2072/2074/2067/5886/3978/5424/2068/6117/10714/1642/2966/2967/5985/5426/5981/1069",16
"hsa04142","hsa04142","Lysosome","37/1792","123/7240",0.102594289471648,0.999954425916137,0.999954425916138,"1520/1513/1511/8906/4074/9179/1174/4125/8907/1777/54/57192/9476/8943/10053/968/1497/4669/535/10312/6272/3373/6448/23163/2548/411/3074/8546/23545/23457/3425/768239/3423/537/6609/1200/1509",37
"hsa04137","hsa04137","Mitophagy - animal","21/1792","65/7240",0.10353189483175,0.999954425916137,0.999954425916138,"5599/23710/51024/79735/6237/7314/11337/55288/4077/10241/7157/8678/4286/84749/192111/8408/441925/22800/283106/3265/3845",21
"hsa04742","hsa04742","Taste transduction","26/1792","83/7240",0.104317019416507,0.999954425916137,0.999954425916138,"196883/50836/259292/259289/259294/50838/259290/50839/6337/353164/50835/259293/50837/259296/259295/50840/2784/773/5566/40/22953/2555/2557/2556/1131/29850",26
"hsa03050","hsa03050","Proteasome","15/1792","45/7240",0.123560877129813,0.999954425916137,0.999954425916138,"122706/5721/5693/5720/5704/5714/5694/5709/5717/5691/10197/5686/9861/5719/5682",15
"hsa04810","hsa04810","Regulation of actin cytoskeleton","60/1792","212/7240",0.128844438735439,0.999954425916137,0.999954425916138,"3684/3681/3687/10451/3678/4660/93408/10552/10095/81/5605/6237/54776/27006/23396/79784/5296/9138/10298/2909/26291/7409/10297/85464/3675/2256/8396/4628/28964/3674/1398/5216/3690/3682/5058/2248/2249/9965/9087/387/3691/71/10458/5881/55740/2149/10788/5501/5829/54434/4633/10094/2261/4636/1131/22800/3630/3265/23191/3845",60
"hsa04640","hsa04640","Hematopoietic cell lineage","29/1792","97/7240",0.144104834238054,0.999954425916137,0.999954425916138,"3684/2209/3552/3553/3678/920/928/2056/945/2323/2057/951/2208/933/3589/2811/3675/1440/3674/3690/100133941/3581/3563/1438/1435/924/931/921/952",29
"hsa04725","hsa04725","Cholinergic synapse","33/1792","112/7240",0.146149278020059,0.999954425916137,0.999954425916138,"1103/6572/196883/779/2784/2783/43/2792/2791/94235/5582/84699/2767/3770/208/773/5296/2788/5566/23533/3768/2793/146850/2773/776/2771/778/10000/2786/1131/3265/3784/3845",33
"hsa00785","hsa00785","Lipoic acid metabolism","2/1792","3/7240",0.153423356936283,0.999954425916137,0.999954425916138,"387787/11019",2
"hsa05412","hsa05412","Arrhythmogenic right ventricular cardiomyopathy (ARVC)","22/1792","72/7240",0.156230487011972,0.999954425916137,0.999954425916138,"3678/779/59284/59283/59285/3675/782/3674/6442/3728/3690/776/1605/55799/9254/778/3691/71/488/2010/6262/88",22
"hsa03410","hsa03410","Base excision repair","11/1792","33/7240",0.171639676148027,0.999954425916137,0.999954425916138,"10038/328/7515/3978/5424/3980/10714/10039/2237/7374/5426",11
"hsa04215","hsa04215","Apoptosis - multiple species","11/1792","33/7240",0.171639676148027,0.999954425916137,0.999954425916138,"5599/7132/27113/112401/581/4804/8678/8772/332/56616/441925",11
"hsa04024","hsa04024","cAMP signaling pathway","55/1792","198/7240",0.17897066729286,0.999954425916137,0.999954425916138,"10451/5599/196883/779/493/134/478/84699/5143/3991/7137/2696/5605/6237/208/610/2906/268/5296/808/2867/116444/5566/5348/5141/7409/84152/482/5338/5058/2773/776/2771/387/778/51/2905/5881/2149/5501/84876/338442/488/8843/27198/1816/1259/8310/1260/492/10000/6262/22800/1262/5140",55
"hsa03430","hsa03430","Mismatch repair","8/1792","23/7240",0.188091481695972,0.999954425916137,0.999954425916138,"3978/5424/6117/10714/4437/5985/5981/9156",8
"hsa00061","hsa00061","Fatty acid biosynthesis","5/1792","13/7240",0.199646574326649,0.999954425916137,0.999954425916138,"54995/81616/31/2194/32",5
"hsa05150","hsa05150","Staphylococcus aureus infection","17/1792","56/7240",0.203569643689882,0.999954425916137,0.999954425916138,"3684/2209/4153/3586/716/715/719/2359/728/718/2204/2357/3383/2358/1675/3858/6404",17
"hsa05220","hsa05220","Chronic myeloid leukemia","21/1792","71/7240",0.20705170705686,0.999954425916137,0.999954425916138,"7048/1021/5605/7040/25759/208/5296/23624/6776/6777/7157/1398/595/9846/2885/5781/1487/8517/10000/3265/3845",21
"hsa05132","hsa05132","Salmonella infection","25/1792","86/7240",0.207525196943043,0.999954425916137,0.999954425916138,"29108/5599/3552/3553/10552/10095/1780/147700/79784/5585/4843/9560/414062/4628/6351/388372/6349/83547/5216/6348/2317/71/10094/2316/391",25
"hsa05144","hsa05144","Malaria","15/1792","49/7240",0.212354337834227,0.999954425916137,0.999954425916138,"7412/3553/3586/22914/100528032/3820/7040/1311/3383/1440/6347/54106/7060/975/3043",15
"hsa04020","hsa04020","Calcium signaling pathway","50/1792","182/7240",0.217672556987531,0.999954425916137,0.999954425916138,"5261/93129/56413/196883/779/493/80228/5582/2767/6261/6915/5731/2769/6543/773/2906/808/5566/80271/56848/4843/5026/489/2064/5023/136/113026/8913/293/776/7134/778/8877/2905/2149/5025/4842/84876/5027/488/22953/57620/952/1816/886/492/6262/1131/887/6786",50
"hsa01523","hsa01523","Antifolate resistance","10/1792","31/7240",0.21871139712455,0.999954425916137,0.999954425916138,"3553/8714/6470/239/113235/2350/2348/2352/1719/8517",10
"hsa00360","hsa00360","Phenylalanine metabolism","6/1792","17/7240",0.226913609114862,0.999954425916137,0.999954425916138,"259307/8639/218/314/221/3242",6
"hsa04744","hsa04744","Phototransduction","9/1792","28/7240",0.239612243421152,0.999954425916137,0.999954425916138,"2792/808/5957/3000/2780/2779/5148/5158/1259",9
"hsa04931","hsa04931","Insulin resistance","30/1792","107/7240",0.244974774005915,0.999954425916137,0.999954425916138,"5565/5599/5106/90673/7132/2997/84699/376497/7376/208/5296/3643/10998/6774/6945/6517/2538/6720/92579/1374/5580/9021/5501/32/5781/5564/22877/10891/10000/3630",30
"hsa00472","hsa00472","D-Arginine and D-ornithine metabolism","1/1792","1/7240",0.247513812154696,0.999954425916137,0.999954425916138,"1610",1
"hsa00600","hsa00600","Sphingolipid metabolism","14/1792","47/7240",0.257997550569781,0.999954425916137,0.999954425916138,"29956/259230/56624/10715/8612/56848/79603/125981/10825/55331/8877/339221/8560/6609",14
"hsa03010","hsa03010","Ribosome","42/1792","154/7240",0.258705763003011,0.999954425916137,0.999954425916138,"54460/6138/6205/51073/6193/6234/64981/6183/6209/25873/6158/6142/7311/6141/6223/23521/6217/6203/124995/6143/6155/6154/51264/9349/6147/219927/6188/140032/6192/6159/51081/6182/6169/54948/6175/6128/6133/6134/6150/63875/6181/6157",42
"hsa05033","hsa05033","Nicotine addiction","12/1792","40/7240",0.271880106913442,0.999954425916137,0.999954425916138,"57030/773/2906/116444/2905/2560/2555/2565/2557/55879/2564/2556",12
"hsa01210","hsa01210","2-Oxocarboxylic acid metabolism","6/1792","18/7240",0.273839283322075,0.999954425916137,0.999954425916138,"587/162417/95/100526760/3421/586",6
"hsa00310","hsa00310","Lysine degradation","17/1792","59/7240",0.277284682277726,0.999954425916137,0.999954425916138,"9739/9869/55753/8985/9757/84787/84444/2639/79709/224/2145/51268/51111/387893/217/23067/55217",17
"hsa04973","hsa04973","Carbohydrate digestion and absorption","13/1792","44/7240",0.279849408234261,0.999954425916137,0.999954425916138,"278/276/280/279/277/478/208/5296/482/2538/92579/776/10000",13
"hsa04261","hsa04261","Adrenergic signaling in cardiomyocytes","39/1792","144/7240",0.284978692476052,0.999954425916137,0.999954425916138,"196883/4624/4625/779/7139/493/478/84699/59284/7137/7171/208/59283/5518/6324/808/5566/59285/4635/23533/782/482/146850/28227/2773/776/2771/7134/55799/9254/778/5501/4633/488/5522/492/10000/6262/3784",39
"hsa04330","hsa04330","Notch signaling pathway","14/1792","48/7240",0.286868063962569,0.999954425916137,0.999954425916138,"4853/51107/8850/55851/9253/10683/4854/1856/2648/5986/9612/1840/1487/3516",14
"hsa01230","hsa01230","Biosynthesis of amino acids","21/1792","75/7240",0.295758294153706,0.999954425916137,0.999954425916138,"26227/2026/7167/2597/587/230/162417/6470/2027/7086/95/100526760/5831/29920/10993/113675/8277/3421/4548/6888/586",21
"hsa04724","hsa04724","Glutamatergic synapse","31/1792","114/7240",0.304102706755454,0.999954425916137,0.999954425916138,"196883/2784/2913/2783/2792/2791/94235/5582/9454/50944/8605/57030/6511/2901/773/2906/2788/116444/5566/1742/5338/2793/22941/2773/776/2912/2771/10991/2905/9456/2786",31
"hsa00030","hsa00030","Pentose phosphate pathway","9/1792","30/7240",0.314578817860686,0.999954425916137,0.999954425916138,"2821/25796/230/7086/132158/55276/8277/2539/6888",9
"hsa05030","hsa05030","Cocaine addiction","14/1792","49/7240",0.316673554413906,0.999954425916137,0.999954425916138,"2913/84699/2906/116444/5566/2354/84152/1742/8851/2773/2912/2771/2905/7054",14
"hsa04722","hsa04722","Neurotrophin signaling pathway","32/1792","119/7240",0.32562142014519,0.999954425916137,0.999954425916138,"5599/9261/10603/4145/10782/5605/4909/25759/208/5296/5609/4793/808/581/7531/4804/5598/7157/1398/6272/387/5580/396/2885/356/5781/11108/10019/3654/10000/3265/3845",32
"hsa04614","hsa04614","Renin-angiotensin system","7/1792","23/7240",0.335709155813226,0.999954425916137,0.999954425916138,"1215/1511/5972/3817/7064/3816/116512",7
"hsa04620","hsa04620","Toll-like receptor signaling pathway","28/1792","104/7240",0.338009357705386,0.999954425916137,0.999954425916138,"1513/5599/3553/9641/148022/3661/5605/208/5296/5609/9560/414062/6351/388372/6416/6349/6352/6348/5606/8772/54106/7096/10333/3654/8517/10000/3665/54472",28
"hsa04068","hsa04068","FoxO signaling pathway","35/1792","132/7240",0.349694954661628,0.999954425916137,0.999954425916138,"5565/1901/7048/5599/5106/2290/3586/23710/9454/1032/5605/10365/8698/3276/7040/4616/208/5296/6794/3643/11337/6774/51701/6517/2538/92579/595/2885/356/9456/5564/10000/3630/3265/3845",35
"hsa04211","hsa04211","Longevity regulating pathway","24/1792","89/7240",0.351618692013538,0.999954425916137,0.999954425916138,"5565/196883/60673/51094/84699/208/5296/84335/6794/3643/5566/581/7157/26060/57521/83667/10645/5564/8408/10891/10000/3630/3265/3845",24
"hsa05143","hsa05143","African trypanosomiasis","10/1792","35/7240",0.360407684766199,0.999954425916137,0.999954425916138,"7412/3553/3586/5582/7064/3383/54106/356/2150/3043",10
"hsa04917","hsa04917","Prolactin signaling pathway","19/1792","70/7240",0.364308426750128,0.999954425916137,0.999954425916138,"5599/3972/5605/25759/208/5296/6776/6774/30837/6777/595/1154/2885/9021/10000/7054/3630/3265/3845",19
"hsa04932","hsa04932","Non-alcoholic fatty liver disease (NAFLD)","39/1792","149/7240",0.372721905219871,0.999954425916137,0.999954425916138,"5565/1339/5599/3552/3553/51094/7132/10975/126328/51079/7386/7040/4713/1340/208/5296/4701/1050/125965/1346/3643/4696/2931/581/374291/6945/6720/100532726/4728/4718/7384/9021/356/5564/1337/22877/170712/10000/3630",39
"hsa04970","hsa04970","Salivary secretion","24/1792","90/7240",0.374898948747456,0.999954425916137,0.999954425916138,"278/276/277/5592/196883/493/5555/653247/5542/5554/478/5582/808/54831/5566/3783/6844/482/4842/952/683/492/1131/727897",24
"hsa05016","hsa05016","Huntington's disease","50/1792","193/7240",0.380316391432015,0.999954425916137,0.999954425916138,"1339/548644/246721/5439/10975/27113/513/84699/126328/5438/51079/160/7386/1175/4713/1340/4701/125965/1346/4696/5434/581/374291/1742/163/146754/1770/5430/7157/9001/516/100532726/4728/4718/293/2876/201625/7384/25981/10476/8632/64446/127602/196385/1337/10891/3064/170712/5441/161",50
"hsa05221","hsa05221","Acute myeloid leukemia","15/1792","55/7240",0.381391778581385,0.999954425916137,0.999954425916138,"5605/208/5296/1050/6776/6774/5914/6777/3728/595/2885/8517/10000/3265/3845",15
"hsa04320","hsa04320","Dorso-ventral axis formation","8/1792","28/7240",0.388207710811512,0.999954425916137,0.999954425916138,"4853/2120/4854/2885/9271/132864/56776/3845",8
"hsa04662","hsa04662","B cell receptor signaling pathway","19/1792","71/7240",0.390833381700449,0.999954425916137,0.999954425916138,"10451/5777/5605/11025/208/973/5296/4793/933/7409/3636/2885/5881/8517/10000/3265/8519/975/3845",19
"hsa03020","hsa03020","RNA polymerase","9/1792","32/7240",0.393583236256513,0.999954425916137,0.999954425916138,"84172/548644/246721/5439/5438/5434/5430/55703/5441",9
"hsa04146","hsa04146","Peroxisome","22/1792","83/7240",0.395794667779376,0.999954425916137,0.999954425916138,"51179/10901/728635/5830/5189/54677/1891/92960/84769/390916/4843/5193/51268/8309/51/1610/4598/5827/8310/215/8443/84188",22
"hsa03030","hsa03030","DNA replication","10/1792","36/7240",0.397972918311036,0.999954425916137,0.999954425916138,"4176/3978/10535/5424/6117/10714/2237/5985/5426/5981",10
"hsa05210","hsa05210","Colorectal cancer","16/1792","60/7240",0.413406443253809,0.999954425916137,0.999954425916138,"7048/5599/7040/208/5296/581/10297/7157/595/26060/387/332/5881/4437/10000/3845",16
"hsa04014","hsa04014","Ras signaling pathway","58/1792","227/7240",0.414054486639381,0.999954425916137,0.999954425916138,"8399/5599/83593/2784/10156/100271927/2783/2792/2791/94235/5582/1943/5605/8605/64926/6237/27006/25759/208/5296/2788/115727/808/3643/10298/5566/26291/2256/8844/4804/4763/5338/5878/2793/5058/2248/2249/9846/9965/1435/387/11186/2885/5881/356/8315/5319/5781/283455/8437/2261/8517/10000/2786/22800/3630/3265/3845",58
"hsa04664","hsa04664","Fc epsilon RI signaling pathway","18/1792","68/7240",0.416343104977909,0.999954425916137,0.999954425916138,"10451/240/5599/5605/8605/208/5296/5609/7409/6416/5606/9846/2885/5881/2206/10000/3265/3845",18
"hsa00760","hsa00760","Nicotinate and nicotinamide metabolism","8/1792","29/7240",0.430812691768905,0.999954425916137,0.999954425916138,"4860/27231/56953/115024/55191/30833/952/683",8
"hsa04392","hsa04392","Hippo signaling pathway -multiple species","8/1792","29/7240",0.430812691768905,0.999954425916137,0.999954425916138,"83937/84962/126374/8463/5058/11186/7003/8642",8
"hsa05216","hsa05216","Thyroid cancer","8/1792","29/7240",0.430812691768905,0.999954425916137,0.999954425916138,"5979/8031/7849/5605/7157/595/3265/3845",8
"hsa05211","hsa05211","Renal cell carcinoma","17/1792","65/7240",0.44339902419463,0.999954425916137,0.999954425916138,"405/5605/7040/208/5296/112398/10298/201163/1398/5058/2885/5781/2271/54583/10000/3265/3845",17
"hsa04612","hsa04612","Antigen processing and presentation","20/1792","77/7240",0.444824398257478,0.999954425916137,0.999954425916138,"1520/5721/5720/920/8302/3823/3824/3822/3821/3805/3812/811/3811/3802/8625/3809/3804/10437/115653/10197",20
"hsa04080","hsa04080","Neuroactive ligand-receptor interaction","70/1792","278/7240",0.456664080996384,0.999954425916137,0.999954425916138,"1901/7068/100996758/5540/56413/1511/1241/134/719/2913/799/2359/3972/9294/728/6915/2696/84634/5731/8698/5739/9170/2357/2901/2906/116444/53637/2358/9002/5032/1145/1140/5026/7442/1394/5023/136/7067/9340/5031/5029/286530/2912/8811/2642/2905/4985/2151/2150/2149/5025/5027/22953/152/2560/55584/1816/2555/886/2565/2557/55879/2564/554/9248/2556/1131/57053/887/1815",70
"hsa04925","hsa04925","Aldosterone synthesis and secretion","21/1792","82/7240",0.470643044196593,0.999954425916137,0.999954425916138,"3284/3283/196883/5587/3164/779/5582/84699/3991/2767/3949/25865/808/5566/8913/5138/776/778/747/84876/949",21
"hsa00511","hsa00511","Other glycan degradation","5/1792","18/7240",0.471488259682431,0.999954425916137,0.999954425916138,"4125/10825/64772/3074/23324",5
"hsa04923","hsa04923","Regulation of lipolysis in adipocytes","14/1792","54/7240",0.472542422316233,0.999954425916137,0.999954425916138,"5592/196883/134/3991/208/5296/3643/5566/2773/2771/10000/3630/57104/5140",14
"hsa00330","hsa00330","Arginine and proline metabolism","13/1792","50/7240",0.472753317535971,0.999954425916137,0.999954425916138,"2593/1158/58510/4843/224/112483/283208/5831/29920/4842/217/1610/51056",13
"hsa04611","hsa04611","Platelet activation","31/1792","123/7240",0.488447007987957,0.999954425916137,0.999954425916138,"5592/196883/7450/1278/6915/51206/8605/5739/208/5296/9138/7408/5566/2909/9002/2811/23533/1277/3674/5023/3690/146850/2773/2771/387/71/2149/5501/84876/10000/6786",31
"hsa04610","hsa04610","Complement and coagulation cascades","20/1792","79/7240",0.49692154901073,0.999954425916137,0.999954425916138,"3684/3687/4153/716/715/2/7450/719/5054/728/718/9002/5329/1675/7448/5345/462/2151/2149/2157",20
"hsa04370","hsa04370","VEGF signaling pathway","15/1792","59/7240",0.50236048700275,0.999954425916137,0.999954425916138,"9261/5582/5605/8605/25759/208/5296/56848/7867/8877/5881/5829/10000/3265/3845",15
"hsa04723","hsa04723","Retrograde endocannabinoid signaling","37/1792","148/7240",0.503910117163129,0.999954425916137,0.999954425916138,"5599/196883/779/2784/2783/2792/2791/94235/5582/126328/51079/57030/4713/773/4701/2788/4696/5566/374291/2793/100532726/4728/4718/2773/776/2771/57406/778/747/2560/2555/2565/2557/55879/2564/2556/2786",37
"hsa04961","hsa04961","Endocrine and other factor-regulated calcium reabsorption","12/1792","47/7240",0.506604109119939,0.999954425916137,0.999954425916138,"478/5582/160/3817/1175/1785/5566/3816/482/163/26052/161",12
"hsa04713","hsa04713","Circadian entrainment","24/1792","96/7240",0.516982372017062,0.999954425916137,0.999954425916138,"5592/196883/2784/2783/2792/2791/94235/5582/6261/2906/2788/808/5566/51655/5187/2793/8913/2773/776/2771/2905/4842/6262/2786",24
"hsa04914","hsa04914","Progesterone-mediated oocyte maturation","24/1792","96/7240",0.516982372017062,0.999954425916137,0.999954425916138,"5599/196883/64682/100310812/441272/441273/729597/208/5296/5566/51343/996/388333/2773/2771/51529/51434/51433/29945/132864/10000/3630/5140/3845",24
"hsa00601","hsa00601","Glycosphingolipid biosynthesis - lacto and neolacto series","7/1792","27/7240",0.517311543863914,0.999954425916137,0.999954425916138,"2528/2523/10331/2525/2527/2524/79369",7
"hsa04921","hsa04921","Oxytocin signaling pathway","38/1792","153/7240",0.52180302704806,0.999954425916137,0.999954425916138,"5565/4776/196883/779/4660/5582/59284/6261/5605/8605/54776/3770/1938/59283/808/5566/59285/23533/782/5598/3768/146850/595/2773/776/2771/387/55799/9254/778/71/5501/10645/5564/952/6262/3265/3845",38
"hsa05133","hsa05133","Pertussis","19/1792","76/7240",0.524295190704456,0.999954425916137,0.999954425916138,"3684/29108/5599/3552/3553/3678/3586/716/715/148022/718/3661/808/4843/2773/2771/387/3654/114548",19
"hsa04623","hsa04623","Cytosolic DNA-sensing pathway","16/1792","64/7240",0.529867390714235,0.999954425916137,0.999954425916138,"29108/11035/3553/9641/3661/4793/5434/9560/6351/388372/6352/11277/55703/8517/5441/3665",16
"hsa00130","hsa00130","Ubiquinone and other terpenoid-quinone biosynthesis","3/1792","11/7240",0.53717592587482,0.999954425916137,0.999954425916138,"79001/3242/84274",3
"hsa01212","hsa01212","Fatty acid metabolism","12/1792","48/7240",0.539684367131733,0.999954425916137,0.999954425916138,"54995/81616/9524/126129/31/37/1374/2194/51/3992/35/8310",12
"hsa04962","hsa04962","Vasopressin-regulated water reabsorption","11/1792","44/7240",0.542798623581651,0.999954425916137,0.999954425916138,"6810/1780/84699/9230/5566/6844/4905/5878/396/8655/554",11
"hsa04072","hsa04072","Phospholipase D signaling pathway","36/1792","146/7240",0.542936484599487,0.999954425916137,0.999954425916138,"196883/57121/2913/5605/8605/9266/6237/8612/23396/9170/25759/208/5296/1785/3643/56848/23533/5338/146850/9846/2912/387/9267/8877/2885/2206/26052/2149/5781/1609/554/10000/22800/3630/3265/3845",36
"hsa04911","hsa04911","Insulin secretion","21/1792","85/7240",0.545955617820832,0.999954425916137,0.999954425916138,"196883/779/478/5582/84699/5864/2767/2864/54795/3780/5566/3783/6844/2695/482/776/778/886/6262/1131/3630",21
