"","CNA_cohort","CNA_covered_in_sc23"
"21","chr1_55534717_55643805","chr1_55548925_55631559"
"22","chr1_57140053_61921051","chr1_57166622_57325712,chr1_57325712_57374031,chr1_57374031_57430504,chr1_57430504_57534692,chr1_57534692_57566504,chr1_57566504_57606938,chr1_57606938_57626538,chr1_57626538_57704064,chr1_57704064_57776383,chr1_57776383_57834621,chr1_57834621_57848234,chr1_57848234_57939166,chr1_57939166_57978178,chr1_57978178_58025024,chr1_58025024_58140827,chr1_58140827_58283796,chr1_58283796_58341196,chr1_58341196_58363957,chr1_58363957_58715496,chr1_58715496_58746239,chr1_58746239_58946395,chr1_58946395_59002166,chr1_59002166_59098734,chr1_59098734_59201479,chr1_59201479_59240137,chr1_59240137_59356845,chr1_59356845_59530405,chr1_59530405_59697660,chr1_59697660_59886407,chr1_59886407_59916815,chr1_59916815_60051485,chr1_60051485_60093575,chr1_60093575_60110327,chr1_60110327_60188270,chr1_60188270_60216852,chr1_60216852_60233875,chr1_60233875_60298405,chr1_60298405_60352322,chr1_60352322_60367246,chr1_60367246_60397817,chr1_60397817_60428523,chr1_60428523_60469593,chr1_60469593_60555569,chr1_60555569_60583519,chr1_60583519_60628816,chr1_60628816_60672687,chr1_60672687_60760134,chr1_60760134_60852058,chr1_60852058_60921600,chr1_60921600_60946697,chr1_60946697_61044582,chr1_61044582_61135991,chr1_61135991_61212534,chr1_61212534_61321835,chr1_61321835_61332760,chr1_61332760_61390454,chr1_61390454_61533095,chr1_61533095_61731537,chr1_61731537_61751519,chr1_61751519_61891502"
"23","chr1_65895544_67206405","chr1_65915396_65978561,chr1_65978561_66050991,chr1_66050991_66142160,chr1_66142160_66226160,chr1_66226160_66501278,chr1_66501278_66601815,chr1_66601815_66973007,chr1_66973007_67060393"
"24","chr1_67891817_68299347","chr1_67935083_68075956,chr1_68075956_68160050,chr1_68160050_68192422,chr1_68192422_68227284"
"25","chr1_68943469_70621479","chr1_68983123_69037393,chr1_69037393_69163578,chr1_69163578_69232643,chr1_69232643_69274758,chr1_69274758_69319054,chr1_69319054_69398268,chr1_69398268_69401093,chr1_69401093_69666525,chr1_69666525_69803411,chr1_69803411_69875099,chr1_69875099_70004854,chr1_70004854_70091978,chr1_70091978_70119913,chr1_70119913_70189157,chr1_70189157_70254327,chr1_70254327_70278109,chr1_70278109_70381123,chr1_70381123_70429762,chr1_70429762_70471033,chr1_70471033_70575198"
"26","chr1_71331371_76190502","chr1_71336751_71459681,chr1_71459681_71567482,chr1_71567482_71629778,chr1_71629778_71700216,chr1_71700216_71765734,chr1_71765734_71882256,chr1_71882256_71937906,chr1_71937906_71972623,chr1_71972623_72038896,chr1_72038896_72226715,chr1_72226715_72403253,chr1_72403253_72558289,chr1_72558289_72583393,chr1_72583393_72630060,chr1_72630060_72722699,chr1_72722699_72855812,chr1_72855812_72929463,chr1_72929463_73129884,chr1_73129884_73154228,chr1_73154228_73179262,chr1_73179262_73276009,chr1_73276009_73308137,chr1_73308137_73390336,chr1_73390336_73622446,chr1_73622446_73768201,chr1_73768201_73842338,chr1_73842338_73893716,chr1_73893716_73979839,chr1_73979839_74127997,chr1_74127997_74223201,chr1_74223201_74256218,chr1_74256218_74333826,chr1_74333826_74418164,chr1_74418164_74477464,chr1_74477464_74629778,chr1_74629778_74732598,chr1_74732598_74738174,chr1_74738174_74757994,chr1_74757994_74830488,chr1_74830488_74874607,chr1_74874607_74961684,chr1_74961684_75134175,chr1_75134175_75246526,chr1_75246526_75370231,chr1_75370231_75404141,chr1_75404141_75556596,chr1_75556596_75597974,chr1_75597974_75678780,chr1_75678780_75800875,chr1_75800875_75828277,chr1_75828277_75951906,chr1_75951906_75999390,chr1_75999390_76121395,chr1_76121395_76163232"
"27","chr1_76288093_77984412","chr1_76401763_76479380,chr1_76479380_76596782,chr1_76596782_76911731,chr1_76911731_77104970,chr1_77104970_77135614,chr1_77135614_77242080,chr1_77242080_77325505,chr1_77325505_77449964,chr1_77449964_77553893,chr1_77553893_77642412,chr1_77642412_77779824,chr1_77779824_77811847,chr1_77811847_77856234"
"28","chr1_78534731_84670980","chr1_78558475_78595455,chr1_78595455_78626779,chr1_78626779_78675825,chr1_78675825_78863083,chr1_78863083_78900548,chr1_78900548_79017129,chr1_79017129_79168442,chr1_79168442_79272093,chr1_79272093_79373125,chr1_79373125_79427103,chr1_79427103_79475820,chr1_79475820_79564718,chr1_79564718_79716166,chr1_79716166_79779964,chr1_79779964_79836667,chr1_79836667_79887769,chr1_79887769_79912713,chr1_79912713_79989815,chr1_79989815_80111763,chr1_80111763_80460076,chr1_80460076_80515110,chr1_80515110_80640757,chr1_80640757_80903268,chr1_80903268_80986873,chr1_80986873_81326055,chr1_81326055_81363213,chr1_81363213_81542292,chr1_81542292_81583444,chr1_81583444_81751672,chr1_81751672_81794119,chr1_81794119_81866619,chr1_81866619_81942908,chr1_81942908_82015986,chr1_82015986_82504720,chr1_82504720_82625056,chr1_82625056_82807315,chr1_82807315_82945234,chr1_82945234_83106748,chr1_83106748_83233971,chr1_83233971_83493406,chr1_83493406_83654967,chr1_83654967_83888076,chr1_83888076_83960937,chr1_83960937_84001844,chr1_84001844_84018676,chr1_84018676_84054557,chr1_84054557_84090748,chr1_84090748_84139725,chr1_84139725_84174267,chr1_84174267_84282469,chr1_84282469_84295758,chr1_84295758_84431108,chr1_84431108_84510543,chr1_84510543_84587994,chr1_84587994_84631809,chr1_84631809_84670909"
"29","chr1_86342804_87194172","chr1_86403663_86475407,chr1_86475407_86492287,chr1_86492287_86532962,chr1_86532962_86607016,chr1_86607016_86666510,chr1_86666510_86723440,chr1_86723440_86864571,chr1_86864571_86908004,chr1_86908004_86917893,chr1_86917893_86943789,chr1_86943789_86970242,chr1_86970242_87008779,chr1_87008779_87042501,chr1_87042501_87089916,chr1_87089916_87144514"
"30","chr1_94696962_94921360","chr1_94743180_94831345"
"31","chr1_97771732_100183081","chr1_ 97837244_ 97875195,chr1_ 97875195_ 98079320,chr1_ 98079320_ 98207266,chr1_ 98207266_ 98311196,chr1_ 98311196_ 98411043,chr1_ 98411043_ 98445218,chr1_ 98445218_ 98551756,chr1_ 98551756_ 98666548,chr1_ 98666548_ 98714079,chr1_ 98714079_ 98760031,chr1_ 98760031_ 98852792,chr1_ 98852792_ 98889005,chr1_ 98889005_ 98931739,chr1_ 98931739_ 98959499,chr1_ 98959499_ 99009898,chr1_ 99009898_ 99052157,chr1_ 99052157_ 99089739,chr1_ 99089739_ 99128314,chr1_ 99128314_ 99331383,chr1_ 99331383_ 99387718,chr1_ 99387718_ 99613702,chr1_ 99613702_ 99747469,chr1_ 99747469_100073781,chr1_100073781_100108203,chr1_100108203_100123200"
"32","chr1_100889777_108417639","chr1_100904576_100921369,chr1_100921369_100942114,chr1_100942114_100994790,chr1_100994790_101062301,chr1_101062301_101097160,chr1_101097160_101124393,chr1_101124393_101239425,chr1_101239425_101276721,chr1_101276721_101316234,chr1_101316234_101417967,chr1_101417967_101439507,chr1_101439507_101470190,chr1_101470190_101500902,chr1_101500902_101732697,chr1_101732697_101777698,chr1_101777698_101856681,chr1_101856681_101929334,chr1_101929334_102012753,chr1_102012753_102088699,chr1_102088699_102249378,chr1_102249378_102264996,chr1_102264996_102477506,chr1_102477506_102615843,chr1_102615843_102700060,chr1_102700060_102768560,chr1_102768560_102845221,chr1_102845221_102859978,chr1_102859978_102922158,chr1_102922158_102991701,chr1_102991701_103129739,chr1_103129739_103194053,chr1_103194053_103267463,chr1_103267463_103328546,chr1_103328546_103360174,chr1_103360174_103453976,chr1_103453976_103482546,chr1_103482546_103537940,chr1_103537940_103559013,chr1_103559013_103593893,chr1_103593893_103641052,chr1_103641052_103706569,chr1_103706569_104025482,chr1_104025482_104106746,chr1_104106746_104339664,chr1_104339664_104414906,chr1_104414906_104469667,chr1_104469667_104533192,chr1_104533192_104947292,chr1_104947292_104993527,chr1_104993527_105299293,chr1_105299293_105373492,chr1_105373492_105435365,chr1_105435365_105674698,chr1_105674698_105783085,chr1_105783085_105915784,chr1_105915784_106077862,chr1_106077862_106341908,chr1_106341908_106681341,chr1_106681341_106884290,chr1_106884290_107055838,chr1_107055838_107118984,chr1_107118984_107463300,chr1_107463300_107548337,chr1_107548337_107585990,chr1_107585990_107640520,chr1_107640520_107674237,chr1_107674237_107742349,chr1_107742349_107830439,chr1_107830439_107896985,chr1_107896985_107926999,chr1_107926999_107993073,chr1_107993073_108036110,chr1_108036110_108101759,chr1_108101759_108172840,chr1_108172840_108239454,chr1_108239454_108271105,chr1_108271105_108313295,chr1_108313295_108323350,chr1_108323350_108342982,chr1_108342982_108371543,chr1_108371543_108382465"
"33","chr1_115280583_115603159","chr1_115313739_115354426,chr1_115354426_115497528,chr1_115497528_115529523,chr1_115529523_115552837"
"34","chr1_117944807_145248894","chr1_118022693_118144870,chr1_118144870_118178757,chr1_118178757_118215627,chr1_118215627_118322916,chr1_118322916_118385603,chr1_118385603_118442562,chr1_118442562_118485063,chr1_118485063_118603008,chr1_118603008_118661310,chr1_118661310_118695473,chr1_118695473_118737738,chr1_118737738_118790240,chr1_118790240_118815496,chr1_118815496_118866606,chr1_118866606_118971980,chr1_118971980_119002921,chr1_119002921_119044053,chr1_119044053_119148745,chr1_119148745_119296163,chr1_119296163_119394176,chr1_119394176_119426033,chr1_119426033_119432674,chr1_119432674_119443350,chr1_119443350_119519410,chr1_119519410_119720894,chr1_119720894_119847688,chr1_119847688_120026115,chr1_120026115_120034666,chr1_120034666_120084431,chr1_120084431_120147475,chr1_120147475_120243488,chr1_120243488_120431721,chr1_120431721_120503694,chr1_120503694_120550091,chr1_120550091_142704374,chr1_142704374_143185124,chr1_143185124_143499379,chr1_143499379_144008312,chr1_144008312_145146858"
"35","chr1_147415551_151079698","chr1_147777157_148904033,chr1_148904033_148947974,chr1_148947974_149235191,chr1_149235191_150232018,chr1_150232018_150326265,chr1_150326265_150387353,chr1_150387353_150639250,chr1_150639250_150734230,chr1_150734230_150805224,chr1_150805224_150831342,chr1_150831342_150952121,chr1_150952121_150990248"
"36","chr1_155236519_155385714","chr1_155301212_155370520"
"37","chr1_155903423_156124508","chr1_155908675_155987199"
"38","chr1_157963466_158151511","chr1_158065942_158121470"
"39","chr1_158326517_159772246","chr1_158475634_158516471,chr1_158516471_158661038,chr1_158661038_158959368,chr1_158959368_159050621,chr1_159050621_159094640,chr1_159094640_159178392,chr1_159178392_159230329,chr1_159230329_159309678,chr1_159309678_159478239,chr1_159478239_159506680,chr1_159506680_159609920,chr1_159609920_159709522"
"40","chr1_160171034_162569153","chr1_160254856_160359333,chr1_160359333_160367521,chr1_160367521_160408116,chr1_160408116_160420467,chr1_160420467_160673466,chr1_160673466_160712953,chr1_160712953_160716419,chr1_160716419_160738893,chr1_160738893_160936947,chr1_160936947_160970436,chr1_160970436_161212278,chr1_161212278_161273312,chr1_161273312_161445374,chr1_161445374_161892842,chr1_161892842_162007431,chr1_162007431_162065310,chr1_162065310_162084481,chr1_162084481_162212797,chr1_162212797_162378135"
"41","chr1_162724945_165414130","chr1_162955749_163016831,chr1_163016831_163074999,chr1_163074999_163194442,chr1_163194442_163330005,chr1_163330005_163389592,chr1_163389592_163495470,chr1_163495470_163566792,chr1_163566792_164043208,chr1_164043208_164056678,chr1_164056678_164412469,chr1_164412469_164437767,chr1_164437767_164487967,chr1_164487967_164673482,chr1_164673482_164751598,chr1_164751598_164963049,chr1_164963049_165028620"
"42","chr1_167383569_167806556","chr1_167392051_167638654,chr1_167638654_167687411,chr1_167687411_167786105"
"43","chr1_168550289_171292331","chr1_168618107_168646106,chr1_168646106_169039963,chr1_169039963_169070116,chr1_169070116_169220174,chr1_169220174_169319745,chr1_169319745_169327017,chr1_169327017_169336905,chr1_169336905_169426703,chr1_169426703_169600600,chr1_169600600_169702194,chr1_169702194_169716838,chr1_169716838_169813185,chr1_169813185_169874431,chr1_169874431_170055508,chr1_170055508_170299254,chr1_170299254_170410244,chr1_170410244_170478981,chr1_170478981_170685297,chr1_170685297_170881802,chr1_170881802_170953257,chr1_170953257_171014019,chr1_171014019_171038153,chr1_171038153_171200139,chr1_171200139_171249555"
"44","chr1_171890887_173950147","chr1_172209961_172301971,chr1_172301971_172365462,chr1_172365462_172580414,chr1_172580414_172635453,chr1_172635453_172707261,chr1_172707261_172721686,chr1_172721686_172829821,chr1_172829821_172852884,chr1_172852884_173098565,chr1_173098565_173247258,chr1_173247258_173280251,chr1_173280251_173372473,chr1_173372473_173380321,chr1_173380321_173501508,chr1_173501508_173522542,chr1_173522542_173552192,chr1_173552192_173680069,chr1_173680069_173746118,chr1_173746118_173838160,chr1_173838160_173858099"
"45","chr1_176132950_178483212","chr1_176185940_176266402,chr1_176266402_176440171,chr1_176440171_176514073,chr1_176514073_176562552,chr1_176562552_176636576,chr1_176636576_176662900,chr1_176662900_176810638,chr1_176810638_177013396,chr1_177013396_177104082,chr1_177104082_177129217,chr1_177129217_177165018,chr1_177165018_177281750,chr1_177281750_177305824,chr1_177305824_177356310,chr1_177356310_177510864,chr1_177510864_177619086,chr1_177619086_177650189,chr1_177650189_177677697,chr1_177677697_177799653,chr1_177799653_177839819,chr1_177839819_177887400,chr1_177887400_178059466,chr1_178059466_178252669,chr1_178252669_178449275"
"46","chr1_179497461_179852112","chr1_179510876_179697374"
"47","chr1_180067997_180601406","chr1_180085909_180123488,chr1_180123488_180476209,chr1_180476209_180487828,chr1_180487828_180550902"
"48","chr1_180882379_182027145","chr1_181378156_181453745,chr1_181453745_181631231,chr1_181631231_181662714,chr1_181662714_181775382"
"49","chr1_183852919_184718726","chr1_183888383_183959048,chr1_183959048_184262692,chr1_184262692_184335060,chr1_184335060_184409534,chr1_184409534_184427247,chr1_184427247_184463226,chr1_184463226_184503937,chr1_184503937_184528872,chr1_184528872_184547528,chr1_184547528_184684569"
"50","chr1_185270103_186418591","chr1_185302654_185742409,chr1_185742409_185764055,chr1_185764055_185828940,chr1_185828940_185888220,chr1_185888220_186154502,chr1_186154502_186183760"
"51","chr1_186823486_197684204","chr1_186990238_187048891,chr1_187048891_187134696,chr1_187134696_187171671,chr1_187171671_187210794,chr1_187210794_187232518,chr1_187232518_187272062,chr1_187272062_187422802,chr1_187422802_187628650,chr1_187628650_187689284,chr1_187689284_188015949,chr1_188015949_188133387,chr1_188133387_188177554,chr1_188177554_188886196,chr1_188886196_188924570,chr1_188924570_189132489,chr1_189132489_189297562,chr1_189297562_189492342,chr1_189492342_189696393,chr1_189696393_189776786,chr1_189776786_189956854,chr1_189956854_190167366,chr1_190167366_190780747,chr1_190780747_191137987,chr1_191137987_191496090,chr1_191496090_191568316,chr1_191568316_191787268,chr1_191787268_191883861,chr1_191883861_191944356,chr1_191944356_192012136,chr1_192012136_192093695,chr1_192093695_192178179,chr1_192178179_192207742,chr1_192207742_192300367,chr1_192300367_192542556,chr1_192542556_192629110,chr1_192629110_192748073,chr1_192748073_192923397,chr1_192923397_192989371,chr1_192989371_192998509,chr1_192998509_193256007,chr1_193256007_193273680,chr1_193273680_193317294,chr1_193317294_193358419,chr1_193358419_193396919,chr1_193396919_193576780,chr1_193576780_193671056,chr1_193671056_193893229,chr1_193893229_193932863,chr1_193932863_193945866,chr1_193945866_193994454,chr1_193994454_194028959,chr1_194028959_194143072,chr1_194143072_194167845,chr1_194167845_194249040,chr1_194249040_194356322,chr1_194356322_194363838,chr1_194363838_194635596,chr1_194635596_194747924,chr1_194747924_194949729,chr1_194949729_195021289,chr1_195021289_195190435,chr1_195190435_195450173,chr1_195450173_195502804,chr1_195502804_195527903,chr1_195527903_195599645,chr1_195599645_195635165,chr1_195635165_195682993,chr1_195682993_195727819,chr1_195727819_195787846,chr1_195787846_195876448,chr1_195876448_195951655,chr1_195951655_196012783,chr1_196012783_196057678,chr1_196057678_196133493,chr1_196133493_196154650,chr1_196154650_196345254,chr1_196345254_196356760,chr1_196356760_196446815,chr1_196446815_196469801,chr1_196469801_196541206,chr1_196541206_196565623,chr1_196565623_196649979,chr1_196649979_196842794,chr1_196842794_196877258,chr1_196877258_196999132,chr1_196999132_197029761,chr1_197029761_197156918,chr1_197156918_197179787,chr1_197179787_197248092,chr1_197248092_197286019,chr1_197286019_197409612,chr1_197409612_197472699,chr1_197472699_197523036,chr1_197523036_197656790"
"52","chr1_197744268_197890789","chr1_197750704_197847835"
"53","chr1_197901048_200013020","chr1_197960385_198019391,chr1_198019391_198068465,chr1_198068465_198223097,chr1_198223097_198248178,chr1_198248178_198301460,chr1_198301460_198421294,chr1_198421294_198471950,chr1_198471950_198584569,chr1_198584569_198759328,chr1_198759328_198916818,chr1_198916818_198941539,chr1_198941539_199100507,chr1_199100507_199144282,chr1_199144282_199388110,chr1_199388110_199582795,chr1_199582795_199875875,chr1_199875875_199975795"
"54","chr1_201816406_205389664","chr1_201817346_201855818,chr1_201855818_201978489,chr1_201978489_202618954,chr1_202618954_202786694,chr1_202786694_203080119,chr1_203080119_203578998,chr1_203578998_203807495,chr1_203807495_203897088,chr1_203897088_204031311,chr1_204031311_205209059"
"55","chr1_206646570_207007745","chr1_206756446_206901682,chr1_206901682_206994338"
"56","chr1_212560232_212873104","chr1_212610674_212823800"
"57","chr1_215179264_219385070","chr1_215456852_215592990,chr1_215592990_215668866,chr1_215668866_215715792,chr1_215715792_215771548,chr1_215771548_215841358,chr1_215841358_215923367,chr1_215923367_216025931,chr1_216025931_216118581,chr1_216118581_216158815,chr1_216158815_216260011,chr1_216260011_216399986,chr1_216399986_216533287,chr1_216533287_216554033,chr1_216554033_216577678,chr1_216577678_216617917,chr1_216617917_216704170,chr1_216704170_216768521,chr1_216768521_216772337,chr1_216772337_216927757,chr1_216927757_217152320,chr1_217152320_217335183,chr1_217335183_217508414,chr1_217508414_217546064,chr1_217546064_217645443,chr1_217645443_217778515,chr1_217778515_217826070,chr1_217826070_217915500,chr1_217915500_217986231,chr1_217986231_218030441,chr1_218030441_218062805,chr1_218062805_218099163,chr1_218099163_218155536,chr1_218155536_218172549,chr1_218172549_218252451,chr1_218252451_218327843,chr1_218327843_218403215,chr1_218403215_218629028,chr1_218629028_218700146,chr1_218700146_218799251,chr1_218799251_219297521"
"58","chr1_221054535_221910802","chr1_221073614_221143582,chr1_221143582_221174706,chr1_221174706_221220674,chr1_221220674_221480737,chr1_221480737_221583458"
"59","chr1_224022532_226488906","chr1_224079060_224233610,chr1_224233610_224326425,chr1_224326425_224393812,chr1_224393812_224441567,chr1_224441567_224538701,chr1_224538701_224689539,chr1_224689539_224762848,chr1_224762848_225085206,chr1_225085206_225143481,chr1_225143481_225254494,chr1_225254494_225269768,chr1_225269768_225611333,chr1_225611333_225777472,chr1_225777472_225825180,chr1_225825180_225891727,chr1_225891727_226024247,chr1_226024247_226142214"
"60","chr1_226595510_226835081","chr1_226673591_226723825"
"61","chr1_227077735_229568862","chr1_227119391_227174151,chr1_227174151_227808028,chr1_227808028_227870669,chr1_227870669_227906931,chr1_227906931_227955481,chr1_227955481_228371160,chr1_228371160_228527536,chr1_228527536_228788060,chr1_228788060_228805235,chr1_228805235_228824927,chr1_228824927_228914011,chr1_228914011_229131978,chr1_229131978_229156018,chr1_229156018_229201236,chr1_229201236_229286840,chr1_229286840_229368342"
"62","chr1_231155608_249212562","chr1_231352835_231524260,chr1_231524260_231694335,chr1_231694335_231888013,chr1_231888013_231936413,chr1_231936413_232534005,chr1_232534005_232562400,chr1_232562400_232595180,chr1_232595180_232832673,chr1_232832673_233155525,chr1_233155525_233199835,chr1_233199835_233217869,chr1_233217869_233576612,chr1_233576612_233836886,chr1_233836886_233946176,chr1_233946176_234440335,chr1_234440335_234763860,chr1_234763860_234860604,chr1_234860604_235127301,chr1_235127301_235497925,chr1_235497925_235573998,chr1_235573998_235703274,chr1_235703274_235933451,chr1_235933451_235973330,chr1_235973330_236216811,chr1_236216811_236640840,chr1_236640840_236677379,chr1_236677379_236797774,chr1_236797774_236955109,chr1_236955109_237079002,chr1_237079002_237157383,chr1_237157383_237199996,chr1_237199996_237360671,chr1_237360671_237480882,chr1_237480882_237509198,chr1_237509198_237700292,chr1_237700292_237748775,chr1_237748775_237984885,chr1_237984885_238020688,chr1_238020688_238065192,chr1_238065192_238098527,chr1_238098527_238130354,chr1_238130354_238185879,chr1_238185879_238467421,chr1_238467421_238540408,chr1_238540408_238704249,chr1_238704249_239205012,chr1_239205012_239387039,chr1_239387039_239455217,chr1_239455217_239533075,chr1_239533075_239664465,chr1_239664465_239692993,chr1_239692993_239753717,chr1_239753717_239831138,chr1_239831138_239920176,chr1_239920176_240013422,chr1_240013422_240142766,chr1_240142766_240426990,chr1_240426990_240537392,chr1_240537392_240638005,chr1_240638005_241041567,chr1_241041567_241108926,chr1_241108926_241170587,chr1_241170587_241283440,chr1_241283440_241312082,chr1_241312082_241620281,chr1_241620281_241665834,chr1_241665834_242094429,chr1_242094429_242171482,chr1_242171482_242223863,chr1_242223863_242305896,chr1_242305896_242393404,chr1_242393404_242577055,chr1_242577055_242682656,chr1_242682656_242738752,chr1_242738752_242862322,chr1_242862322_243054450,chr1_243054450_243099080,chr1_243099080_243624491,chr1_243624491_243700422,chr1_243700422_243867103,chr1_243867103_243981967,chr1_243981967_244060650,chr1_244060650_244174649,chr1_244174649_244202225,chr1_244202225_244278935,chr1_244278935_244329568,chr1_244329568_244431156,chr1_244431156_244508474,chr1_244508474_244568930,chr1_244568930_244684679,chr1_244684679_244798108,chr1_244798108_244878660,chr1_244878660_245082877,chr1_245082877_245183398,chr1_245183398_245258502,chr1_245258502_245368313,chr1_245368313_245608880,chr1_245608880_245960988,chr1_245960988_246007159,chr1_246007159_246025530,chr1_246025530_246454461,chr1_246454461_246893869,chr1_246893869_246983701,chr1_246983701_247122112,chr1_247122112_247303245,chr1_247303245_247464954,chr1_247464954_247598172,chr1_247598172_247648318,chr1_247648318_247757853,chr1_247757853_247997673,chr1_247997673_248138320,chr1_248138320_248529159,chr1_248529159_248551847,chr1_248551847_248600187,chr1_248600187_248625674,chr1_248625674_248848488,chr1_248848488_249174279"
"63","chr2_92996_3176774","chr2_ 271833_ 331704,chr2_ 331704_ 357401,chr2_ 357401_ 396594,chr2_ 396594_ 589240,chr2_ 589240_ 649717,chr2_ 649717_ 806231,chr2_ 806231_1027470,chr2_1027470_1092864,chr2_1092864_1333461,chr2_1333461_1464397,chr2_1464397_1489002,chr2_1489002_1767452,chr2_1767452_1880565,chr2_1880565_2070449,chr2_2070449_2193591,chr2_2193591_2344155,chr2_2344155_2635677"
"64","chr2_3180222_4868555","chr2_3364691_3489017,chr2_3489017_3697356,chr2_3697356_4034805,chr2_4034805_4364276,chr2_4364276_4378682,chr2_4378682_4676135,chr2_4676135_4817608"
"65","chr2_5415683_6472900","chr2_5445488_5695442,chr2_5695442_5871008,chr2_5871008_5966997,chr2_5966997_6194841,chr2_6194841_6457261"
